"templateId","pokemonId","type","type2","form","candyToEvolve","kmBuddyDistance","purificationStardustNeeded","baseStamina","baseAttack","baseDefense"
"V0024_POKEMON_ARBOK_NORMAL","ARBOK","POKEMON_TYPE_POISON",,"ARBOK_NORMAL",,3.0,3000,155,167,153
"V0025_POKEMON_PIKACHU","PIKACHU","POKEMON_TYPE_ELECTRIC",,,50,1.0,,111,112,96
"V0025_POKEMON_PIKACHU_ADVENTURE_HAT_2020","PIKACHU","POKEMON_TYPE_ELECTRIC",,"PIKACHU_ADVENTURE_HAT_2020",50,1.0,,111,112,96
"V0025_POKEMON_PIKACHU_COPY_2019","PIKACHU","POKEMON_TYPE_ELECTRIC",,"PIKACHU_COPY_2019",,1.0,,111,112,96
"V0025_POKEMON_PIKACHU_COSTUME_2020","PIKACHU","POKEMON_TYPE_ELECTRIC",,"PIKACHU_COSTUME_2020",50,1.0,,111,112,96
"V0025_POKEMON_PIKACHU_DIWALI_2024","PIKACHU","POKEMON_TYPE_ELECTRIC",,"PIKACHU_DIWALI_2024",50,1.0,,111,112,96
"V0025_POKEMON_PIKACHU_DOCTOR","PIKACHU","POKEMON_TYPE_ELECTRIC",,"PIKACHU_DOCTOR",,1.0,,111,112,96
"V0025_POKEMON_PIKACHU_FALL_2019","PIKACHU","POKEMON_TYPE_ELECTRIC",,"PIKACHU_FALL_2019",,1.0,,111,112,96
"V0025_POKEMON_PIKACHU_FLYING_01","PIKACHU","POKEMON_TYPE_ELECTRIC",,"PIKACHU_FLYING_01",,1.0,,111,112,96
"V0025_POKEMON_PIKACHU_FLYING_02","PIKACHU","POKEMON_TYPE_ELECTRIC",,"PIKACHU_FLYING_02",,1.0,,111,112,96
"V0025_POKEMON_PIKACHU_FLYING_03","PIKACHU","POKEMON_TYPE_ELECTRIC",,"PIKACHU_FLYING_03",,1.0,,111,112,96
"V0025_POKEMON_PIKACHU_FLYING_04","PIKACHU","POKEMON_TYPE_ELECTRIC",,"PIKACHU_FLYING_04",,1.0,,111,112,96
"V0025_POKEMON_PIKACHU_FLYING_5TH_ANNIV","PIKACHU","POKEMON_TYPE_ELECTRIC",,"PIKACHU_FLYING_5TH_ANNIV",,1.0,,111,112,96
"V0025_POKEMON_PIKACHU_FLYING_OKINAWA","PIKACHU","POKEMON_TYPE_ELECTRIC",,"PIKACHU_FLYING_OKINAWA",50,1.0,,111,112,96
"V0025_POKEMON_PIKACHU_GOFEST_2022","PIKACHU","POKEMON_TYPE_ELECTRIC",,"PIKACHU_GOFEST_2022",,1.0,,111,112,96
"V0025_POKEMON_PIKACHU_GOFEST_2024_MTIARA","PIKACHU","POKEMON_TYPE_ELECTRIC",,"PIKACHU_GOFEST_2024_MTIARA",,1.0,,111,112,96
"V0025_POKEMON_PIKACHU_GOFEST_2024_STIARA","PIKACHU","POKEMON_TYPE_ELECTRIC",,"PIKACHU_GOFEST_2024_STIARA",,1.0,,111,112,96
"V0025_POKEMON_PIKACHU_GOTOUR_2024_A","PIKACHU","POKEMON_TYPE_ELECTRIC",,"PIKACHU_GOTOUR_2024_A",,1.0,,111,112,96
"V0025_POKEMON_PIKACHU_GOTOUR_2024_A_02","PIKACHU","POKEMON_TYPE_ELECTRIC",,"PIKACHU_GOTOUR_2024_A_02",,1.0,,111,112,96
"V0025_POKEMON_PIKACHU_GOTOUR_2024_B","PIKACHU","POKEMON_TYPE_ELECTRIC",,"PIKACHU_GOTOUR_2024_B",,1.0,,111,112,96
"V0025_POKEMON_PIKACHU_GOTOUR_2024_B_02","PIKACHU","POKEMON_TYPE_ELECTRIC",,"PIKACHU_GOTOUR_2024_B_02",,1.0,,111,112,96
"V0025_POKEMON_PIKACHU_GOTOUR_2025_A","PIKACHU","POKEMON_TYPE_ELECTRIC",,"PIKACHU_GOTOUR_2025_A",,1.0,,111,112,96
"V0025_POKEMON_PIKACHU_GOTOUR_2025_A_02","PIKACHU","POKEMON_TYPE_ELECTRIC",,"PIKACHU_GOTOUR_2025_A_02",,1.0,,111,112,96
"V0025_POKEMON_PIKACHU_GOTOUR_2025_B","PIKACHU","POKEMON_TYPE_ELECTRIC",,"PIKACHU_GOTOUR_2025_B",,1.0,,111,112,96
"V0025_POKEMON_PIKACHU_GOTOUR_2025_B_02","PIKACHU","POKEMON_TYPE_ELECTRIC",,"PIKACHU_GOTOUR_2025_B_02",,1.0,,111,112,96
"V0025_POKEMON_PIKACHU_HORIZONS","PIKACHU","POKEMON_TYPE_ELECTRIC",,"PIKACHU_HORIZONS",,1.0,,111,112,96
"V0025_POKEMON_PIKACHU_JEJU","PIKACHU","POKEMON_TYPE_ELECTRIC",,"PIKACHU_JEJU",,1.0,,111,112,96
"V0025_POKEMON_PIKACHU_KARIYUSHI","PIKACHU","POKEMON_TYPE_ELECTRIC",,"PIKACHU_KARIYUSHI",,1.0,,111,112,96
"V0025_POKEMON_PIKACHU_KURTA","PIKACHU","POKEMON_TYPE_ELECTRIC",,"PIKACHU_KURTA",50,1.0,,111,112,96
"V0025_POKEMON_PIKACHU_NORMAL","PIKACHU","POKEMON_TYPE_ELECTRIC",,"PIKACHU_NORMAL",50,1.0,,111,112,96
"V0025_POKEMON_PIKACHU_POP_STAR","PIKACHU","POKEMON_TYPE_ELECTRIC",,"PIKACHU_POP_STAR",,1.0,,111,112,96
"V0025_POKEMON_PIKACHU_ROCK_STAR","PIKACHU","POKEMON_TYPE_ELECTRIC",,"PIKACHU_ROCK_STAR",,1.0,,111,112,96
"V0025_POKEMON_PIKACHU_SUMMER_2023_A","PIKACHU","POKEMON_TYPE_ELECTRIC",,"PIKACHU_SUMMER_2023_A",,1.0,,111,112,96
"V0025_POKEMON_PIKACHU_SUMMER_2023_B","PIKACHU","POKEMON_TYPE_ELECTRIC",,"PIKACHU_SUMMER_2023_B",,1.0,,111,112,96
"V0025_POKEMON_PIKACHU_SUMMER_2023_C","PIKACHU","POKEMON_TYPE_ELECTRIC",,"PIKACHU_SUMMER_2023_C",,1.0,,111,112,96
"V0025_POKEMON_PIKACHU_SUMMER_2023_D","PIKACHU","POKEMON_TYPE_ELECTRIC",,"PIKACHU_SUMMER_2023_D",,1.0,,111,112,96
"V0025_POKEMON_PIKACHU_SUMMER_2023_E","PIKACHU","POKEMON_TYPE_ELECTRIC",,"PIKACHU_SUMMER_2023_E",,1.0,,111,112,96
"V0025_POKEMON_PIKACHU_TSHIRT_01","PIKACHU","POKEMON_TYPE_ELECTRIC",,"PIKACHU_TSHIRT_01",,1.0,,111,112,96
"V0025_POKEMON_PIKACHU_TSHIRT_02","PIKACHU","POKEMON_TYPE_ELECTRIC",,"PIKACHU_TSHIRT_02",,1.0,,111,112,96
"V0025_POKEMON_PIKACHU_TSHIRT_03","PIKACHU","POKEMON_TYPE_ELECTRIC",,"PIKACHU_TSHIRT_03",,1.0,,111,112,96
"V0025_POKEMON_PIKACHU_VS_2019","PIKACHU","POKEMON_TYPE_ELECTRIC",,"PIKACHU_VS_2019",,1.0,,111,112,96
"V0025_POKEMON_PIKACHU_WCS_2022","PIKACHU","POKEMON_TYPE_ELECTRIC",,"PIKACHU_WCS_2022",50,1.0,,111,112,96
"V0025_POKEMON_PIKACHU_WCS_2023","PIKACHU","POKEMON_TYPE_ELECTRIC",,"PIKACHU_WCS_2023",50,1.0,,111,112,96
"V0025_POKEMON_PIKACHU_WCS_2024","PIKACHU","POKEMON_TYPE_ELECTRIC",,"PIKACHU_WCS_2024",50,1.0,,111,112,96
"V0025_POKEMON_PIKACHU_WINTER_2020","PIKACHU","POKEMON_TYPE_ELECTRIC",,"PIKACHU_WINTER_2020",50,1.0,,111,112,96
"V0026_POKEMON_RAICHU","RAICHU","POKEMON_TYPE_ELECTRIC",,,,1.0,,155,193,151
"V0026_POKEMON_RAICHU_ALOLA","RAICHU","POKEMON_TYPE_ELECTRIC","POKEMON_TYPE_PSYCHIC","RAICHU_ALOLA",,1.0,,155,201,154
"V0026_POKEMON_RAICHU_NORMAL","RAICHU","POKEMON_TYPE_ELECTRIC",,"RAICHU_NORMAL",,1.0,,155,193,151
"V0027_POKEMON_SANDSHREW","SANDSHREW","POKEMON_TYPE_GROUND",,,50,3.0,3000,137,126,120
"V0027_POKEMON_SANDSHREW_ALOLA","SANDSHREW","POKEMON_TYPE_ICE","POKEMON_TYPE_STEEL","SANDSHREW_ALOLA",50,3.0,3000,137,125,129
"V0027_POKEMON_SANDSHREW_NORMAL","SANDSHREW","POKEMON_TYPE_GROUND",,"SANDSHREW_NORMAL",50,3.0,3000,137,126,120
"V0028_POKEMON_SANDSLASH","SANDSLASH","POKEMON_TYPE_GROUND",,,,3.0,3000,181,182,175
"V0028_POKEMON_SANDSLASH_ALOLA","SANDSLASH","POKEMON_TYPE_ICE","POKEMON_TYPE_STEEL","SANDSLASH_ALOLA",,3.0,3000,181,177,195
"V0028_POKEMON_SANDSLASH_NORMAL","SANDSLASH","POKEMON_TYPE_GROUND",,"SANDSLASH_NORMAL",,3.0,3000,181,182,175
"V0029_POKEMON_NIDORAN","NIDORAN_FEMALE","POKEMON_TYPE_POISON",,,25,3.0,3000,146,86,89
"V0029_POKEMON_NIDORAN_NORMAL","NIDORAN_FEMALE","POKEMON_TYPE_POISON",,"NIDORAN_NORMAL",25,3.0,3000,146,86,89
"V0030_POKEMON_NIDORINA","NIDORINA","POKEMON_TYPE_POISON",,,100,3.0,3000,172,117,120
"V0030_POKEMON_NIDORINA_NORMAL","NIDORINA","POKEMON_TYPE_POISON",,"NIDORINA_NORMAL",100,3.0,3000,172,117,120
"V0031_POKEMON_NIDOQUEEN","NIDOQUEEN","POKEMON_TYPE_POISON","POKEMON_TYPE_GROUND",,,3.0,3000,207,180,173
"V0031_POKEMON_NIDOQUEEN_NORMAL","NIDOQUEEN","POKEMON_TYPE_POISON","POKEMON_TYPE_GROUND","NIDOQUEEN_NORMAL",,3.0,3000,207,180,173
"V0032_POKEMON_NIDORAN","NIDORAN_MALE","POKEMON_TYPE_POISON",,,25,3.0,3000,130,105,76
"V0032_POKEMON_NIDORAN_NORMAL","NIDORAN_MALE","POKEMON_TYPE_POISON",,"NIDORAN_NORMAL",25,3.0,3000,130,105,76
"V0033_POKEMON_NIDORINO","NIDORINO","POKEMON_TYPE_POISON",,,100,3.0,3000,156,137,111
"V0033_POKEMON_NIDORINO_NORMAL","NIDORINO","POKEMON_TYPE_POISON",,"NIDORINO_NORMAL",100,3.0,3000,156,137,111
"V0034_POKEMON_NIDOKING","NIDOKING","POKEMON_TYPE_POISON","POKEMON_TYPE_GROUND",,,3.0,3000,191,204,156
"V0034_POKEMON_NIDOKING_NORMAL","NIDOKING","POKEMON_TYPE_POISON","POKEMON_TYPE_GROUND","NIDOKING_NORMAL",,3.0,3000,191,204,156
"V0035_POKEMON_CLEFAIRY","CLEFAIRY","POKEMON_TYPE_FAIRY",,,50,1.0,,172,107,108
"V0036_POKEMON_CLEFABLE","CLEFABLE","POKEMON_TYPE_FAIRY",,,,1.0,,216,178,162
"V0037_POKEMON_VULPIX","VULPIX","POKEMON_TYPE_FIRE",,,50,3.0,3000,116,96,109
"V0037_POKEMON_VULPIX_ALOLA","VULPIX","POKEMON_TYPE_ICE",,"VULPIX_ALOLA",50,3.0,3000,116,96,109
"V0037_POKEMON_VULPIX_NORMAL","VULPIX","POKEMON_TYPE_FIRE",,"VULPIX_NORMAL",50,3.0,3000,116,96,109
"V0038_POKEMON_NINETALES","NINETALES","POKEMON_TYPE_FIRE",,,,3.0,3000,177,169,190
"V0038_POKEMON_NINETALES_ALOLA","NINETALES","POKEMON_TYPE_ICE","POKEMON_TYPE_FAIRY","NINETALES_ALOLA",,3.0,3000,177,170,193
"V0038_POKEMON_NINETALES_NORMAL","NINETALES","POKEMON_TYPE_FIRE",,"NINETALES_NORMAL",,3.0,3000,177,169,190
"V0039_POKEMON_JIGGLYPUFF","JIGGLYPUFF","POKEMON_TYPE_NORMAL","POKEMON_TYPE_FAIRY",,50,1.0,,251,80,41
"V0040_POKEMON_WIGGLYTUFF","WIGGLYTUFF","POKEMON_TYPE_NORMAL","POKEMON_TYPE_FAIRY",,,1.0,,295,156,90
"V0041_POKEMON_ZUBAT","ZUBAT","POKEMON_TYPE_POISON","POKEMON_TYPE_FLYING",,50,1.0,1000,120,83,73
"V0041_POKEMON_ZUBAT_NORMAL","ZUBAT","POKEMON_TYPE_POISON","POKEMON_TYPE_FLYING","ZUBAT_NORMAL",50,1.0,1000,120,83,73
"V0042_POKEMON_GOLBAT","GOLBAT","POKEMON_TYPE_POISON","POKEMON_TYPE_FLYING",,,1.0,1000,181,161,150
"V0042_POKEMON_GOLBAT_NORMAL","GOLBAT","POKEMON_TYPE_POISON","POKEMON_TYPE_FLYING","GOLBAT_NORMAL",,1.0,1000,181,161,150
"V0043_POKEMON_ODDISH","ODDISH","POKEMON_TYPE_GRASS","POKEMON_TYPE_POISON",,25,3.0,3000,128,131,112
"V0043_POKEMON_ODDISH_NORMAL","ODDISH","POKEMON_TYPE_GRASS","POKEMON_TYPE_POISON","ODDISH_NORMAL",25,3.0,3000,128,131,112
"V0044_POKEMON_GLOOM","GLOOM","POKEMON_TYPE_GRASS","POKEMON_TYPE_POISON",,100,3.0,3000,155,153,136
"V0044_POKEMON_GLOOM_NORMAL","GLOOM","POKEMON_TYPE_GRASS","POKEMON_TYPE_POISON","GLOOM_NORMAL",100,3.0,3000,155,153,136
"V0045_POKEMON_VILEPLUME","VILEPLUME","POKEMON_TYPE_GRASS","POKEMON_TYPE_POISON",,,3.0,3000,181,202,167
"V0045_POKEMON_VILEPLUME_NORMAL","VILEPLUME","POKEMON_TYPE_GRASS","POKEMON_TYPE_POISON","VILEPLUME_NORMAL",,3.0,3000,181,202,167
"V0046_POKEMON_PARAS","PARAS","POKEMON_TYPE_BUG","POKEMON_TYPE_GRASS",,50,3.0,,111,121,99
"V0047_POKEMON_PARASECT","PARASECT","POKEMON_TYPE_BUG","POKEMON_TYPE_GRASS",,,3.0,,155,165,146
"V0048_POKEMON_VENONAT","VENONAT","POKEMON_TYPE_BUG","POKEMON_TYPE_POISON",,50,3.0,3000,155,100,100
"V0048_POKEMON_VENONAT_NORMAL","VENONAT","POKEMON_TYPE_BUG","POKEMON_TYPE_POISON","VENONAT_NORMAL",50,3.0,3000,155,100,100
"V0049_POKEMON_VENOMOTH","VENOMOTH","POKEMON_TYPE_BUG","POKEMON_TYPE_POISON",,,3.0,3000,172,179,143
"V0049_POKEMON_VENOMOTH_NORMAL","VENOMOTH","POKEMON_TYPE_BUG","POKEMON_TYPE_POISON","VENOMOTH_NORMAL",,3.0,3000,172,179,143
"V0050_POKEMON_DIGLETT","DIGLETT","POKEMON_TYPE_GROUND",,,50,3.0,3000,67,109,78
"V0050_POKEMON_DIGLETT_ALOLA","DIGLETT","POKEMON_TYPE_GROUND","POKEMON_TYPE_STEEL","DIGLETT_ALOLA",50,3.0,3000,67,108,81
"V0050_POKEMON_DIGLETT_NORMAL","DIGLETT","POKEMON_TYPE_GROUND",,"DIGLETT_NORMAL",50,3.0,3000,67,109,78
"V0051_POKEMON_DUGTRIO","DUGTRIO","POKEMON_TYPE_GROUND",,,,3.0,3000,111,167,134
"V0051_POKEMON_DUGTRIO_ALOLA","DUGTRIO","POKEMON_TYPE_GROUND","POKEMON_TYPE_STEEL","DUGTRIO_ALOLA",,3.0,3000,111,201,142
"V0051_POKEMON_DUGTRIO_NORMAL","DUGTRIO","POKEMON_TYPE_GROUND",,"DUGTRIO_NORMAL",,3.0,3000,111,167,136
"V0052_POKEMON_MEOWTH","MEOWTH","POKEMON_TYPE_NORMAL",,,50,3.0,3000,120,92,78
"V0052_POKEMON_MEOWTH_ALOLA","MEOWTH","POKEMON_TYPE_DARK",,"MEOWTH_ALOLA",50,3.0,3000,120,99,78
"V0052_POKEMON_MEOWTH_GALARIAN","MEOWTH","POKEMON_TYPE_STEEL",,"MEOWTH_GALARIAN",50,3.0,3000,137,115,92
"V0052_POKEMON_MEOWTH_NORMAL","MEOWTH","POKEMON_TYPE_NORMAL",,"MEOWTH_NORMAL",50,3.0,3000,120,92,78
"V0053_POKEMON_PERSIAN","PERSIAN","POKEMON_TYPE_NORMAL",,,,3.0,3000,163,150,136
"V0053_POKEMON_PERSIAN_ALOLA","PERSIAN","POKEMON_TYPE_DARK",,"PERSIAN_ALOLA",,3.0,3000,163,158,136
"V0053_POKEMON_PERSIAN_NORMAL","PERSIAN","POKEMON_TYPE_NORMAL",,"PERSIAN_NORMAL",,3.0,3000,163,150,136
"V0054_POKEMON_PSYDUCK","PSYDUCK","POKEMON_TYPE_WATER",,,50,3.0,3000,137,122,95
"V0054_POKEMON_PSYDUCK_NORMAL","PSYDUCK","POKEMON_TYPE_WATER",,"PSYDUCK_NORMAL",50,3.0,3000,137,122,95
"V0055_POKEMON_GOLDUCK","GOLDUCK","POKEMON_TYPE_WATER",,,,3.0,3000,190,191,162
"V0055_POKEMON_GOLDUCK_NORMAL","GOLDUCK","POKEMON_TYPE_WATER",,"GOLDUCK_NORMAL",,3.0,3000,190,191,162
"V0056_POKEMON_MANKEY","MANKEY","POKEMON_TYPE_FIGHTING",,,50,3.0,3000,120,148,82
"V0057_POKEMON_PRIMEAPE","PRIMEAPE","POKEMON_TYPE_FIGHTING",,,,3.0,3000,163,207,138
"V0058_POKEMON_GROWLITHE","GROWLITHE","POKEMON_TYPE_FIRE",,,50,3.0,3000,146,136,93
"V0058_POKEMON_GROWLITHE_HISUIAN","GROWLITHE","POKEMON_TYPE_FIRE","POKEMON_TYPE_ROCK","GROWLITHE_HISUIAN",50,3.0,3000,155,142,92
"V0058_POKEMON_GROWLITHE_NORMAL","GROWLITHE","POKEMON_TYPE_FIRE",,"GROWLITHE_NORMAL",50,3.0,3000,146,136,93
"V0059_POKEMON_ARCANINE","ARCANINE","POKEMON_TYPE_FIRE",,,,3.0,3000,207,227,166
"V0059_POKEMON_ARCANINE_HISUIAN","ARCANINE","POKEMON_TYPE_FIRE","POKEMON_TYPE_ROCK","ARCANINE_HISUIAN",,3.0,3000,216,232,165
"V0059_POKEMON_ARCANINE_NORMAL","ARCANINE","POKEMON_TYPE_FIRE",,"ARCANINE_NORMAL",,3.0,3000,207,227,166
"V0060_POKEMON_POLIWAG","POLIWAG","POKEMON_TYPE_WATER",,,25,3.0,3000,120,101,82
"V0060_POKEMON_POLIWAG_NORMAL","POLIWAG","POKEMON_TYPE_WATER",,"POLIWAG_NORMAL",25,3.0,3000,120,101,82
"V0061_POKEMON_POLIWHIRL","POLIWHIRL","POKEMON_TYPE_WATER",,,100,3.0,3000,163,130,123
"V0061_POKEMON_POLIWHIRL_NORMAL","POLIWHIRL","POKEMON_TYPE_WATER",,"POLIWHIRL_NORMAL",100,3.0,3000,163,130,123
"V0062_POKEMON_POLIWRATH","POLIWRATH","POKEMON_TYPE_WATER","POKEMON_TYPE_FIGHTING",,,3.0,3000,207,182,184
"V0062_POKEMON_POLIWRATH_NORMAL","POLIWRATH","POKEMON_TYPE_WATER","POKEMON_TYPE_FIGHTING","POLIWRATH_NORMAL",,3.0,3000,207,182,184
"V0063_POKEMON_ABRA","ABRA","POKEMON_TYPE_PSYCHIC",,,25,3.0,3000,93,195,82
"V0063_POKEMON_ABRA_NORMAL","ABRA","POKEMON_TYPE_PSYCHIC",,"ABRA_NORMAL",25,3.0,3000,93,195,82
"V0064_POKEMON_KADABRA","KADABRA","POKEMON_TYPE_PSYCHIC",,,100,3.0,3000,120,232,117
"V0064_POKEMON_KADABRA_NORMAL","KADABRA","POKEMON_TYPE_PSYCHIC",,"KADABRA_NORMAL",100,3.0,3000,120,232,117
"V0065_POKEMON_ALAKAZAM","ALAKAZAM","POKEMON_TYPE_PSYCHIC",,,,3.0,3000,146,271,167
"V0065_POKEMON_ALAKAZAM_NORMAL","ALAKAZAM","POKEMON_TYPE_PSYCHIC",,"ALAKAZAM_NORMAL",,3.0,3000,146,271,167
"V0066_POKEMON_MACHOP","MACHOP","POKEMON_TYPE_FIGHTING",,,25,3.0,3000,172,137,82
"V0066_POKEMON_MACHOP_NORMAL","MACHOP","POKEMON_TYPE_FIGHTING",,"MACHOP_NORMAL",25,3.0,3000,172,137,82
"V0067_POKEMON_MACHOKE","MACHOKE","POKEMON_TYPE_FIGHTING",,,100,3.0,3000,190,177,125
"V0067_POKEMON_MACHOKE_NORMAL","MACHOKE","POKEMON_TYPE_FIGHTING",,"MACHOKE_NORMAL",100,3.0,3000,190,177,125
"V0068_POKEMON_MACHAMP","MACHAMP","POKEMON_TYPE_FIGHTING",,,,3.0,3000,207,234,159
